,Facteur 1,Facteur 2,Facteur 3,Facteur 4,Facteur 1_x_Facteur 2,Facteur 1_x_Facteur 3,Facteur 1_x_Facteur 4,Facteur 2_x_Facteur 3,Facteur 2_x_Facteur 4,Facteur 3_x_Facteur 4,Facteur 1_x_Facteur 2_x_Facteur 3,Facteur 1_x_Facteur 2_x_Facteur 4,Facteur 1_x_Facteur 3_x_Facteur 4,Facteur 2_x_Facteur 3_x_Facteur 4,Facteur 1_x_Facteur 2_x_Facteur 3_x_Facteur 4
Facteur 1,1,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333
Facteur 2,0.16666666666666666,1,0.16666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0,0,0,0,0
Facteur 3,0.16666666666666666,0.16666666666666666,1,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
Facteur 4,0.3333333333333333,0.16666666666666666,0.16666666666666666,1,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Facteur 1_x_Facteur 2,0.3333333333333333,0,0,0.16666666666666666,1,0.5,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Facteur 1_x_Facteur 3,0.5,0,0.3333333333333333,0.5,0.5,1,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Facteur 1_x_Facteur 4,0.3333333333333333,0,0.16666666666666666,0.3333333333333333,0.5,0.5,1,0.16666666666666666,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5
Facteur 2_x_Facteur 3,0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,1,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
Facteur 2_x_Facteur 4,0.16666666666666666,0,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,1,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333
Facteur 3_x_Facteur 4,0.3333333333333333,0,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5,1,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5
Facteur 1_x_Facteur 2_x_Facteur 3,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5,1,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
Facteur 1_x_Facteur 2_x_Facteur 4,0.3333333333333333,0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,1,0.6666666666666666,0.5,0.6666666666666666
Facteur 1_x_Facteur 3_x_Facteur 4,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,1,0.6666666666666666,0.6666666666666666
Facteur 2_x_Facteur 3_x_Facteur 4,0.16666666666666666,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1,0.5
Facteur 1_x_Facteur 2_x_Facteur 3_x_Facteur 4,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1
